feature,coef,abs_coef
Name_Dyer Library Association,0.06996713261845035,0.06996713261845035
Name_Wardwell Home for the Aging,0.06984471025335613,0.06984471025335613
City_Brewer,0.06829144613199041,0.06829144613199041
City_Lewiston,-0.06812629158573341,0.06812629158573341
Class_Prefix_SO_False,-0.06710317717937286,0.06710317717937286
"Classification Code_EO,GROUP,LODGE",-0.06521308905529909,0.06521308905529909
City_Waldoboro,0.06429419721422912,0.06429419721422912
City_Lee,0.06360945731767413,0.06360945731767413
City_Orono,0.06297015310418302,0.06297015310418302
City_Scarborough,0.06268403328520207,0.06268403328520207
Name_D A Hurd Public Library Assoc,0.06255236612721703,0.06255236612721703
City_North Berwick,0.06255236612721703,0.06255236612721703
City_Rockport,0.06156874457979405,0.06156874457979405
City_Augusta,0.0600811096946123,0.0600811096946123
City_Kittery,0.0595117177822207,0.0595117177822207
City_Bethel,0.05907571423141905,0.05907571423141905
City_Norway,-0.058529171250617955,0.058529171250617955
City_Springvale,-0.0577078985734307,0.0577078985734307
Name_YWCA of Mount Desert Island,0.056338451362421375,0.056338451362421375
City_York Harbor,0.0563125767052979,0.0563125767052979
Name_Agamenticus Yacht Club of York,0.0563125767052979,0.0563125767052979
City_Presque Isle,0.053095385930720634,0.053095385930720634
City_Bryant Pond,0.052584919804149005,0.052584919804149005
Name_Oxford County Mineral and Gem,0.052584919804149005,0.052584919804149005
City_Danforth,0.052582701622710365,0.052582701622710365
Name_East Grand Health Center Inc.,0.052582701622710365,0.052582701622710365
City_Weld,0.05258198508369378,0.05258198508369378
Name_Weld Free Public Library Assn,0.05258198508369378,0.05258198508369378
Name_Acadia Repertory Theatre Inc.,0.0516170886338838,0.0516170886338838
Name_Natural Resources Council Inc.,0.05072152568852373,0.05072152568852373
Name_Franklin County Animal Shelter,0.05061630367786864,0.05061630367786864
Name_University of New England,0.0502143115486675,0.0502143115486675
Name_History House Association Inc.,0.048380128871766556,0.048380128871766556
City_Newcastle,0.048231117400996566,0.048231117400996566
Name_Whitefield Cemetery Corporation,-0.04803284145168416,0.04803284145168416
City_Whitefield,-0.04803284145168416,0.04803284145168416
Name_State Street Baptist Church,0.047932837773212354,0.047932837773212354
Name_Yarmouth Senior Housing Inc.,0.04763942467062955,0.04763942467062955
Name_Avesta Housing Development Corporation,-0.04722596961989348,0.04722596961989348
Name_Lubec Historical Society Inc.,0.046443537842524044,0.046443537842524044
City_Lubec,0.046443537842524044,0.046443537842524044
State_NY_False,0.0461939793357608,0.0461939793357608
Name_Chocolate Church Arts Center,0.045817404874879356,0.045817404874879356
Name_Cedars Nursing Care Center Inc.,-0.04506242634892707,0.04506242634892707
Name_Pine Tree Legal Assistance Inc.,-0.04505858078739345,0.04505858078739345
City_Biddeford,-0.044455599724513316,0.044455599724513316
Name_Independence Association Inc.,0.0440911887970459,0.0440911887970459
City_E Millinocket,0.04406323410493194,0.04406323410493194
Name_East Millinocket Housing Corp,0.04406323410493194,0.04406323410493194
City_Long Island,0.04406224431045362,0.04406224431045362
Name_Long Island Civic Association,0.04406224431045362,0.04406224431045362
Name_Calais Methodist Home Inc.,0.04394108945319062,0.04394108945319062
City_Calais,0.04394108945319062,0.04394108945319062
Name_William Fogg Public Library,0.04323528660800002,0.04323528660800002
Name_Eastern Agency on Aging,0.04304003120247989,0.04304003120247989
City_Cedar Knolls,0.04297534720386322,0.04297534720386322
Name_Hanover Soccer Club Inc.,0.04297534720386322,0.04297534720386322
Name_Pen Bay Behavioral Health,0.04289881696335666,0.04289881696335666
Name_Belfast Curling Club Inc.,0.04289865093042888,0.04289865093042888
Name_Bible Society of Maine,0.04273460716403079,0.04273460716403079
Name_Stanwood Wildlife Sanctuary,0.04212273291576814,0.04212273291576814
City_Poland,0.041652748941621305,0.041652748941621305
Name_Goodnews Bible Church Inc.,0.041652748941621305,0.041652748941621305
City_Buckfield,0.04165258349600151,0.04165258349600151
Name_Buckfield Rescue Unit Inc.,0.04165258349600151,0.04165258349600151
City_Northeast Hbr,0.0416481972435005,0.0416481972435005
Name_Mount Desert Larger Parish,0.0416481972435005,0.0416481972435005
City_Hinckley,0.04164746621788394,0.04164746621788394
Name_Good Will Home Association,0.04164746621788394,0.04164746621788394
Name_Central Aroostook Association,0.04162149253314869,0.04162149253314869
Name_The Castine Womans Club,0.041599478273252416,0.041599478273252416
City_Van Buren,-0.04118967126877812,0.04118967126877812
Name_Heritage Vivant-Living Heritage,-0.04118967126877812,0.04118967126877812
Name_Lee Academy Alumni Assn,0.040937948177563806,0.040937948177563806
Name_Susan L Curtis Charitable Foundation,-0.04081712714427049,0.04081712714427049
Name_Pine Tree Society Inc.,0.04063553942105764,0.04063553942105764
City_Kennebunk,-0.0406175801594295,0.0406175801594295
Name_South Paris Riverside Cemetery,0.04051997502378475,0.04051997502378475
City_South Paris,0.04051997502378475,0.04051997502378475
Name_Gorham Cooperative Preschool,0.04051775318672929,0.04051775318672929
Name_Riverside Cemetery Association,0.03969002092847156,0.03969002092847156
Name_Fuller Cemetery Association Inc.,-0.0393326401805919,0.0393326401805919
City_North Haven,-0.0393326401805919,0.0393326401805919
Name_H O M E Inc.,0.03897107133187714,0.03897107133187714
City_Orland,0.03897107133187714,0.03897107133187714
City_Millinocket,0.038950709243496126,0.038950709243496126
Name_Millinocket Regional Hospital,0.038950709243496126,0.038950709243496126
Name_George Stevens Academy,0.03883402500432696,0.03883402500432696
Name_Maple Grove Elderly Housing Corporation,-0.03854696030232881,0.03854696030232881
City_Brookline,0.03845921822984906,0.03845921822984906
Name_Bethany Presbyterian Church,0.03845921822984906,0.03845921822984906
Name_Oak Grove Cemetery Asso,0.03833222038605526,0.03833222038605526
State_NY_True,-0.03822668494589902,0.03822668494589902
Name_Bangor Half-Way House Inc.,0.03799341132940354,0.03799341132940354
Name_Sanford Library Association,0.0378057739977412,0.0378057739977412
Name_Harrington Library Association,0.037626210983983,0.037626210983983
City_Harrington,0.037626210983983,0.037626210983983
Name_Freeport Historical Society,0.037507766694425605,0.037507766694425605
City_Freeport,0.037507766694425605,0.037507766694425605
Name_Howland Housing Corporation,0.03750742841580714,0.03750742841580714
City_Howland,0.03750742841580714,0.03750742841580714
Name_Maine Seacoast Mission,0.037419596825279205,0.037419596825279205
City_Wiscasset,0.03741451589546079,0.03741451589546079
Name_Chewonki Foundation Inc.,0.03741451589546079,0.03741451589546079
Name_Megunticook Watershed Association,-0.037349999493985375,0.037349999493985375
Name_Fryeburg Historical Society,0.037348597245133494,0.037348597245133494
Name_Maple Grove Cemetery Corporation,-0.03728378093758577,0.03728378093758577
City_Islesboro,-0.03728378093758577,0.03728378093758577
Name_Woodfords Family Service,0.03703264405142577,0.03703264405142577
Name_St. Louis Alumni Association Inc.,-0.03699615866644518,0.03699615866644518
Name_Orchard Grove Cemetery Association,-0.03677935168680683,0.03677935168680683
Name_Mt. Pleasant Cemetery Assoc,0.03677397357363261,0.03677397357363261
Name_Brick Store Museum,0.03676396483517925,0.03676396483517925
Name_Castine Community Hospital,0.03674902781024352,0.03674902781024352
Name_Orono Health Association,0.036673553796944876,0.036673553796944876
State_NH_False,0.03660482287421405,0.03660482287421405
Name_Prouts Neck Association,0.03648424960406406,0.03648424960406406
Name_Northeast Occupational Exchange Inc.,-0.03644247969712911,0.03644247969712911
Name_Androscoggin Historical Society,-0.036322929762793915,0.036322929762793915
Name_Pine Grove Cemetery Association,-0.03629407652742099,0.03629407652742099
Name_Delta Ambulance Corp,0.036255242643238456,0.036255242643238456
Name_Waterville Area YMCA,0.03625259688675859,0.03625259688675859
Name_Kittery Art Association,0.036201111536807565,0.036201111536807565
City_Ogunquit,0.03612352427665662,0.03612352427665662
Name_Ogunquit Memorial Library,0.03612352427665662,0.03612352427665662
City_Deer Isle,-0.03604898131810415,0.03604898131810415
Name_The Clarence E Mulford Trust,0.03603885239138357,0.03603885239138357
Name_Trinitarian Parish Church,0.03602127094281227,0.03602127094281227
Name_Eastern Maine Development Corporation,-0.035720285366500466,0.035720285366500466
Name_Bethel Historical Society,0.03551112975990142,0.03551112975990142
City_Hebron,0.03550586615057149,0.03550586615057149
